ProductID,TicketType,Quantity,Elasticity,AvgPrice,ProjectedRevenue,OptimalPricePercentChange,OptimalPrice,OptimalQuantity,OptimalRevenue,RevenueGain
81,,6718.826,5.460046487033595,93.42857142857143,627730.3309151786,-0.41,55.12285714285715,21759.718498936538,1199457.8542856649,571727.5233704862
92,,1147.8431,3.737026840259337,105.85714285714286,121507.39521135604,-0.37,66.69000000000001,2734.965769519727,182394.86716927064,60887.471957914604
93,,11075.4375,1.6667134033510909,112.57142857142857,1246777.8214285714,-0.2,90.05714285714289,14767.353525845456,1329905.666098997,83127.84467042563
98,,3895.5325,2.664459190531718,94.71428571428571,368962.5754394531,-0.31,65.35285714285716,7113.173531712821,464866.2136503808,95903.63821092766
130,,9091.815,4.231283275062354,149.71428571428572,1361174.6529017857,-0.38,92.82285714285716,23710.43312537191,2200870.146791665,839695.4938898792
140,,13993.648,1.3678202484439712,154.28571428571428,2159020.044642857,-0.13,134.22857142857148,16481.95187621444,2212348.854698728,53328.81005587103
599,,6524.963,2.161035792102077,284.14285714285717,1854021.5984933036,-0.27,207.4242857142858,10332.14604479518,2143138.013237323,289116.4147440195
704,,1403.7966,0.033673368870328194,220.57142857142858,309637.42829241074,0.49,328.65142857142877,1380.6340555921477,453747.35470472474,144109.926412314
709,,36.13765,0.3788398161587311,63.285714285714285,2286.9969635009766,0.49,94.29571428571434,29.42936308786097,2775.062813343486,488.0658498425096
710,,30.731546,0.40659905942036645,67.28571428571429,2067.7940507616318,0.49,100.25571428571435,24.608791649804598,2467.1719845594826,399.3779337978508
713,,1542.521,0.10457941167738165,188.85714285714286,291316.10811941966,0.49,281.397142857143,1463.4761863407182,411818.01747574593,120501.90935632627
722,,1248.4596,0.04245089961145588,385.7142857142857,481548.70082310267,0.49,574.7142857142861,1222.4904605934614,702582.7318524998,221034.0310293971
726,,2127.733,0.2775763022007915,101.42857142857143,215812.90945870537,0.49,151.12857142857152,1838.33487585292,277824.9235949722,62012.01413626681
737,,2386.3186,0.18796801598290758,146.85714285714286,350447.9320591518,0.49,218.81714285714298,2166.5283325467167,474073.53964692267,123625.60758777085
741,,391.70203,0.2965316177594187,103.71428571428571,40625.09587751116,0.49,154.5342857142858,334.78752894361816,51736.15165135282,11111.055773841661
742,,2981.915,0.0653546068250063,202.85714285714286,604902.7650669643,0.49,302.25714285714304,2886.4229154303835,872441.9434953727,267539.17842840834
743,,247.40198,0.5365135260351422,87.14285714285714,21559.315185546875,0.43,124.61428571428578,190.3261393925161,23717.355913155985,2158.04072760911
746,,31.78655,0.21370327819988377,117.71428571428571,3741.7310900006973,0.49,175.39428571428581,28.45803439774959,4991.376616025865,1249.6455260251673
748,,1094.4502,0.3300538094614097,127.0,138995.1748046875,0.49,189.2300000000001,917.4487417604491,173608.8254033299,34613.65059864239
752,,2.3552186,0.9633816302681442,218.85714285714286,515.4564243044172,0.02,223.23428571428582,2.3098391612780143,515.6352952827825,0.17887097836535304
773,,794.9216,0.3549567967139584,108.71428571428571,86419.33066231864,0.49,161.9842857142858,656.6617909330369,106368.89116015164,19949.56049783301
774,,2626.7458,0.19620956875447076,148.14285714285714,389133.63514927455,0.49,220.73285714285726,2374.203441123443,524064.7089975811,134931.07384830655
776,,791.4309,0.10857517637367811,230.42857142857142,182368.29356166293,0.49,343.33857142857164,749.325330484715,257272.28850386437,74903.99494220145
777,,1261.0441,0.15220210175072538,252.28571428571428,318143.4032854353,0.49,375.9057142857145,1166.996624229398,438680.69959996943,120537.29631453415
778,,1843.6259,0.3656178839543974,169.28571428571428,312099.5196533203,0.49,252.2357142857144,1513.3351884678918,381717.18221690494,69617.66256358463
783,,631.1522,0.17949321284810205,263.7142857142857,166443.8573172433,0.49,392.934285714286,575.6413270475902,226189.21367106852,59745.35635382522
784,,114.95472,0.2081531911042002,142.57142857142858,16389.25858633859,0.49,212.4314285714287,103.22990560778213,21929.276319554898,5540.0177332163075
785,,100.39335,0.15942067722801945,95.42857142857143,9580.39384678432,0.49,142.18857142857152,92.55100863124632,13159.695701550307,3579.3018547659867
786,,151.35786,0.2749669185989793,207.42857142857142,31395.945582798548,0.49,309.0685714285716,130.96484564849607,40477.11775194406,9081.172169145513
788,,161.20984,0.17694478742792238,115.0,18539.131469726562,0.49,171.3500000000001,147.23247093906187,25228.28389540827,6689.1524256817065
792,,371.1698,0.1364877621541025,71.42857142857143,26512.128557477678,0.49,106.42857142857149,346.3463334809687,36861.145491903124,10349.016934425446
800,,271.62787,0.11438806870283814,195.71428571428572,53161.45429338728,0.49,291.61428571428587,256.4030848748489,74770.80245071847,21609.348157331195
804,,2390.71,0.2853793387089179,101.71428571428571,243169.3560267857,0.49,151.55428571428578,2056.402939365888,311656.6786163549,68487.32258956917
813,,1403.4081,0.31990304621321064,176.14285714285714,247200.3091343471,0.49,262.4528571428573,1183.420366151968,310592.0562976303,63391.7471632832
814,,284.5527,0.29249218021225726,178.71428571428572,50853.63321794783,0.49,266.2842857142859,243.77027789651225,64912.19432804574,14058.561110097915
816,,399.0861,0.344738540338288,471.14285714285717,188026.56072998047,0.49,702.0028571428576,331.6717155664457,232834.49196111807,44807.9312311376
891,,150.49489,0.24143797703165273,629.0,94661.2847442627,0.49,937.2100000000006,132.69064942646324,124359.0035489757,29697.718804713004
1051,,112.99596,0.28610149107329147,296.14285714285717,33462.94538007464,0.49,441.25285714285747,97.15508372843527,42869.958281125604,9407.012901050963
1109,,110.99697,0.3382903946846467,184.14285714285714,20439.299398149764,0.49,274.3728571428573,92.5978586358492,25406.33903922835,4967.039641078587
1729,,329.93478,0.10070869089238026,419.85714285714283,138525.47571236745,0.49,625.5871428571431,313.6534068522423,196217.53864010336,57692.06292773591
1866,,1.1559207,1.0700477603476195,262.0,302.8512349128723,-0.03,254.1400000000001,1.1930274560381033,303.1959976775237,0.3447627646513638
2032,,96.0017,0.28730962031239676,80.28571428571429,7707.565165928432,0.49,119.62571428571437,82.4864172958151,9867.496587881385,2159.9314219529533
2414,,225.86671,0.07432290160074823,419.57142857142856,94767.22006007603,0.49,625.1614285714289,217.6410503759898,136060.7899688401,41293.56990876408
2543,,0.89106804,3.146197886987408,116.33333333333333,103.66091547409692,-0.34,76.78000000000002,1.8442500135089699,141.60151603721874,37.94060056312182
3122,,8663.633,2.046033816322967,214.57142857142858,1858968.0691964286,-0.26,158.7828571428572,13272.415096210862,2107431.9901623507,248463.92096592207
4097,,118.42685,0.2755889673594812,119.57142857142857,14160.467559814453,0.49,178.16142857142867,102.43465413437548,18249.904315800537,4089.436755986084
4154,,4.7236915,0.889095357437041,185.0,873.8829207420349,0.06,196.10000000000008,4.471702734462262,876.90090622805,3.01798548601505
4300,,842.1105,0.23489193812628031,76.57142857142857,64481.60198102678,0.49,114.09142857142864,745.1860426114673,85019.3401530318,20537.73817200501
4354,,1.1438531,2.7627284890451853,241.42857142857142,276.15881221635,-0.32,164.1714285714286,2.1551028153012224,353.8063079063093,77.64749568995933
4369,,1372.8854,0.05442219154681256,176.28571428571428,242020.07913643972,0.49,262.66571428571444,1336.2748148339874,350993.5787203801,108973.49958394037
6940,,14.457049,0.25531501311350546,98.42857142857143,1422.9867165429253,0.49,146.65857142857152,12.648409512588294,1854.997669959754,432.01095341682867
7391,,3.3431451,1.8056902016547955,101.25,338.49344462156296,-0.22,78.97500000000002,4.67121570175428,368.9092600460443,30.415815424481366
7468,,0.49608815,5.217922278726943,237.42857142857142,117.78550008365086,-0.4,142.45714285714288,1.5315079052818825,218.1742404495848,100.38874036593394
7505,,1.9541143,0.3730114515954805,593.4285714285714,1159.627268075943,0.49,884.208571428572,1.5969498789264196,1412.0367710885605,252.4095030126175
7732,,108.75816,0.6722130263537132,163.85714285714286,17820.80192565918,0.24,203.18285714285724,91.21208644538667,18532.732329934945,711.9304042757649
7741,,509.69974,0.29363082940896884,168.28571428571428,85775.18440464564,0.49,250.74571428571443,436.3645947726899,109416.55200527445,23641.367600628815
7750,,16.187294,2.1188639362984603,59.57142857142857,964.3002286638532,-0.26,44.08285714285715,25.10494911538832,1106.6978854323613,142.3976567685081
7774,,3032.4165,11.815929170478471,78.0,236528.4873046875,-0.46,42.120000000000005,19514.593071657502,821954.6601782141,585426.1728735266
7785,,84.5688,8.5084837016358,92.71428571428571,7840.7360600062775,-0.44,51.92,401.17180176309677,20828.839947539986,12988.103887533707
7836,,136.10083,1.5662166765719974,50.285714285714285,6843.927455357143,-0.18,41.234285714285726,174.47024023558214,7194.155734514064,350.2282791569205
7853,,5113.7925,6.672516441696026,109.71428571428571,561056.0892857142,-0.43,62.53714285714286,19786.19417476892,1237372.0517066917,676315.9624209775
7899,,339.1784,4.747247764925522,63.285714285714285,21465.1476789202,-0.39,38.60428571428572,967.1423379404138,37335.83914023401,15870.691461313814
7950,,14.974555,9.086173843612647,272.0,4073.0789642333984,-0.44,152.32000000000002,74.84157546051253,11399.86877414527,7326.789809911872
7952,,0.016914565,1.6656900996630863,85.5,1.4461953174322844,-0.2,68.40000000000002,0.022549449846988277,1.5423823695339987,0.0961870521017143
8024,,249.6725,0.6917589385720638,360.14285714285717,89917.76771981377,0.22,439.374285714286,211.6756001275245,93004.8156091739,3087.047889360125
8097,,604.52075,2.059275788347985,72.28571428571429,43698.21435546876,-0.26,53.49142857142859,928.1882384463817,49650.11485769475,5951.900502225995
